SCHOOL ID,SCHOOL NAME,CD,DISTRICT,SCHOOL EMAIL,,,,
501823,San Juan Integrated School,I,Aliaga,501823@deped.gov.ph,,,,
105171,Aliaga Central School,I,Aliaga,105171@deped.gov.ph,,,,
105172,Betes Elementary School,I,Aliaga,105172@deped.gov.ph,,,,
105173,Bibiclat Elementary School,I,Aliaga,105173@deped.gov.ph,,,,
105174,Bucot Elementary School,I,Aliaga,105174@deped.gov.ph,,,,
105179,Don Benigno Carriedo Elementary School,I,Aliaga,105179@deped.gov.ph,,,,
105175,Don Emiliano Soriano Elementary School,I,Aliaga,105175@deped.gov.ph,,,,
105176,Doña Elena L. Soriano Elementary School,I,Aliaga,105176@deped.gov.ph,,,,
105177,Gaudencio Medina Elementary School,I,Aliaga,105177@deped.gov.ph,,,,
105180,Gaudencio Medina Pantoc Elementary School,I,Aliaga,105180@deped.gov.ph,,,,
105178,La Purisima Elementary School,I,Aliaga,105178@deped.gov.ph,,,,
105181,San Carlos Elementary School,I,Aliaga,105181@deped.gov.ph,,,,
105182,San Emiliano Elementary School,I,Aliaga,105182@deped.gov.ph,,,,
105183,San Eustacio Elementary School,I,Aliaga,105183@deped.gov.ph,,,,
105184,San Felipe Elementary School,I,Aliaga,105184@deped.gov.ph,,,,
105186,San Pablo (B) Elementary School,I,Aliaga,105186@deped.gov.ph,,,,
105187,San Pablo (M) Elementary School,I,Aliaga,105187@deped.gov.ph,,,,
105188,Santiago Elementary School,I,Aliaga,105188@deped.gov.ph,,,,
105189,Sta. Monica Elementary School,I,Aliaga,105189@deped.gov.ph,,,,
105190,Sto. Rosario Elementary School,I,Aliaga,105190@deped.gov.ph,,,,
105191,Sto. Tomas Elementary School,I,Aliaga,105191@deped.gov.ph,,,,
105192,Sunson Elementary School,I,Aliaga,105192@deped.gov.ph,,,,
105193,Umangan Elementary School,I,Aliaga,105193@deped.gov.ph,,,,
501823,San Juan Integrated School,I,Aliaga,501823@deped.gov.ph,,,,
300783,Aliaga National High School,I,Aliaga,300783@deped.gov.ph,,,,
300839,Restituto B. Peria High School,I,Aliaga,300839@deped.gov.ph,,,,
306807,San Carlos High School,I,Aliaga,306807@deped.gov.ph,,,,
306811,Umangan National High School,I,Aliaga,306811@deped.gov.ph,,,,
300860,"Vicente R. Bumanlag, Sr. National High School",I,Aliaga,300860@deped.gov.ph,,,,
306379,Aliaga Senior High School,I,Aliaga,306379@deped.gov.ph,,,,
300839,Restituto B. Peria High School,I,Aliaga,300839@deped.gov.ph,,,,
306807,San Carlos High School,I,Aliaga,306807@deped.gov.ph,,,,
306811,Umangan National High School,I,Aliaga,306811@deped.gov.ph,,,,
300860,"Vicente R. Bumanlag, Sr. National High School",I,Aliaga,300860@deped.gov.ph,,,,
,Aliaga District Office,I,Aliaga,,,,,
105194,Antipolo Elementary School,III,Bongabon,105194@deped.gov.ph,,,,
105195,Ariendo Elementary School,III,Bongabon,105195@deped.gov.ph,,,,
105196,Bantug Elem. School,III,Bongabon,105196@deped.gov.ph,,,,
105197,Bongabon Central School,III,Bongabon,105197@deped.gov.ph,,,,
105200,Calaanan Elementary School,III,Bongabon,105200@deped.gov.ph,,,,
105201,Camp Martyr Elementary School,III,Bongabon,105201@deped.gov.ph,,,,
105202,Cruz Elementary School,III,Bongabon,105202@deped.gov.ph,,,,
105207,E. Gotangco Elementary School (Larcon ES),III,Bongabon,105207@deped.gov.ph,,,,
105204,E. Pesa Elementary School,III,Bongabon,105204@deped.gov.ph,,,,
159028,Hiniero Elementary School,III,Bongabon,159028@deped.gov.ph,,,,
105205,J. Tomacruz Elementary School,III,Bongabon,105205@deped.gov.ph,,,,
105203,Jaime L. Gamilla Elementary School (Digmala ES),III,Bongabon,105203@deped.gov.ph,,,,
105198,Jesus C. Ilagan Elementary School (Bongabon East ES),III,Bongabon,105198@deped.gov.ph,,,,
105206,Labi Elementary School,III,Bongabon,105206@deped.gov.ph,,,,
105208,Lusok Elementary School,III,Bongabon,105208@deped.gov.ph,,,,
105209,Macabaclay Elementary School,III,Bongabon,105209@deped.gov.ph,,,,
105210,Olivete Elementary School,III,Bongabon,105210@deped.gov.ph,,,,
105211,R. Vijandre Elementary School,III,Bongabon,105211@deped.gov.ph,,,,
159017,Rita De Lara Elementary School,III,Bongabon,159017@deped.gov.ph,,,,
105199,Rosa A. Ilagan Elementary School (Bongabon North ES),III,Bongabon,105199@deped.gov.ph,,,,
105212,Santor Elementary School,III,Bongabon,105212@deped.gov.ph,,,,
159020,Tamale Elementary School (Jaime L. Gamilla ES Annex),III,Bongabon,159020@deped.gov.ph,,,,
105213,Vega Elementary School,III,Bongabon,105213@deped.gov.ph,,,,
300816,Macabaclay National High School,III,Bongabon,300816@deped.gov.ph,,,,
306813,Vega National High School,III,Bongabon,306813@deped.gov.ph,,,,
300790,Bongabon National High School,III,Bongabon,300790@deped.gov.ph,,,,
305810,Santor National High School,III,Bongabon,305810@deped.gov.ph,,,,
300816,Macabaclay National High School,III,Bongabon,300816@deped.gov.ph,,,,
306813,Vega National High School,III,Bongabon,306813@deped.gov.ph,,,,
305833,Bongabon Senior High School,III,Bongabon,305833@deped.gov.ph,,,,
,Bongabon District Office,III,Bongabon,,,,,
300826,Nueva Ecija High School,III,Cabanatuan City,300826@deped.gov.ph,,,,
,Cabanatuan District Office,III,Cabanatuan City,,,,,
305871,NEHS Senior High School,III,Cabanatuan City,305871@deped.gov.ph,,,,
